DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR
20/03,QH211,HAN,SGN,1h48m,04:10,04:22,06:25,Landed 13:10,green
20/03,QH204,SGN,HAN,1h48m,01:10,01:29,03:20,Landed 10:17,green
19/03,QH255,HAN,SGN,1h46m,09:30,12:41,11:45,Landed 21:27,red
19/03,QH242,SGN,HAN,1h48m,06:15,09:40,08:25,Landed 18:29,red
19/03,QH211,HAN,SGN,,03:10,,05:25,Unknown,
19/03,QH204,SGN,HAN,1h42m,00:10,03:44,02:20,Landed 12:26,red
18/03,QH1125,UIH,SGN,43m,11:15,11:21,12:30,Landed 19:04,green
18/03,QH1124,SGN,UIH,47m,09:30,09:38,10:45,Landed 17:26,green
18/03,QH251,HAN,SGN,1h44m,06:15,06:22,08:30,Landed 15:06,green
18/03,QH224,SGN,HAN,1h45m,03:20,03:37,05:30,Landed 12:22,green
18/03,QH151,DAD,SGN,1h8m,01:10,01:14,02:40,Landed 09:22,green
17/03,QH150,SGN,DAD,59m,23:15,23:22,00:40,Landed 07:21,green
17/03,QH283,HAN,SGN,1h42m,16:20,16:27,18:35,Landed 01:09,green
17/03,QH268,SGN,HAN,1h45m,13:10,13:29,15:20,Landed 22:14,green
17/03,QH1125,UIH,SGN,47m,11:15,11:38,12:30,Landed 19:25,green
17/03,QH1124,SGN,UIH,46m,09:30,09:47,10:45,Landed 17:33,green
17/03,QH251,HAN,SGN,1h48m,06:15,06:38,08:30,Landed 15:25,green
17/03,QH224,SGN,HAN,1h44m,03:20,03:36,05:30,Landed 12:19,green
17/03,QH151,DAD,SGN,1h2m,01:10,01:27,02:40,Landed 09:28,green
16/03,QH150,SGN,DAD,59m,23:15,23:38,00:40,Landed 07:36,green
16/03,QH1125,UIH,SGN,48m,11:15,11:36,12:30,Landed 19:24,green
16/03,QH1124,SGN,UIH,46m,09:30,09:54,10:45,Landed 17:40,green
16/03,QH251,HAN,SGN,1h57m,06:15,06:40,08:30,Landed 15:37,green
16/03,QH224,SGN,HAN,1h52m,03:20,03:48,05:30,Landed 12:40,green
16/03,QH151,DAD,SGN,1h1m,01:10,01:19,02:40,Landed 09:19,green
15/03,QH150,SGN,DAD,1h2m,23:15,23:21,00:40,Landed 07:23,green
15/03,QH283,HAN,SGN,1h41m,15:35,16:57,17:50,Landed 01:38,red
15/03,QH268,SGN,HAN,1h46m,12:35,13:55,14:45,Landed 22:41,red
15/03,QH1125,UIH,SGN,51m,11:15,11:44,12:30,Landed 19:35,green
15/03,QH1124,SGN,UIH,42m,09:30,10:08,10:45,Landed 17:50,green
15/03,QH251,HAN,SGN,1h51m,06:15,06:57,08:30,Landed 15:48,yellow
15/03,QH224,SGN,HAN,1h55m,03:20,03:41,05:30,Landed 12:36,green
15/03,QH151,DAD,SGN,1h2m,01:10,01:21,02:40,Landed 09:23,green
14/03,QH150,SGN,DAD,57m,23:15,23:35,00:40,Landed 07:32,green
14/03,QH283,HAN,SGN,1h41m,16:20,16:32,18:35,Landed 01:13,green
14/03,QH268,SGN,HAN,1h44m,13:10,13:24,15:20,Landed 22:08,green
14/03,QH1125,UIH,SGN,45m,11:15,11:28,12:30,Landed 19:13,green
14/03,QH1124,SGN,UIH,46m,09:30,09:44,10:45,Landed 17:30,green
14/03,QH251,HAN,SGN,1h54m,06:15,06:30,08:30,Landed 15:24,green
14/03,QH224,SGN,HAN,1h52m,03:20,03:37,05:30,Landed 12:29,green
14/03,QH151,DAD,SGN,1h0m,01:10,01:18,02:40,Landed 09:18,green
13/03,QH150,SGN,DAD,58m,23:15,23:25,00:40,Landed 07:23,green
13/03,QH1125,UIH,SGN,48m,11:15,11:33,12:30,Landed 19:20,green
13/03,QH1124,SGN,UIH,46m,09:30,09:52,10:45,Landed 17:38,green
13/03,QH251,HAN,SGN,1h42m,06:15,06:45,08:30,Landed 15:27,green
13/03,QH224,SGN,HAN,1h49m,03:20,03:44,05:30,Landed 12:33,green
13/03,QH151,DAD,SGN,1h4m,01:10,01:25,02:40,Landed 09:29,green
