reg_number,aircraft_model,age,airline_code,DATE,FLIGHT,FROM,TO,std_utc,scheduled_dep_hour,dep_delay_minutes,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,flight_legs,cumulative_delay,is_cavok,wind_speed,is_gust,visibility_meters,has_thunderstorm,has_heavy_rain,has_low_vis_fog,time_crawled_UTC,dep_recent_index,dep_recent_delay_avg,actual_turnaround
VN-A656,A320-214,10.9,VJC,10/03,VJ516,DAD,HAN,2026-03-10 11:15:00,11,24.0,,,,1,0.0,,,,,,,,,,,
VN-A329,A321-231,14.3,VNA,10/03,VN1544,HUI,HAN,2026-03-10 11:20:00,11,17.0,,,,1,0.0,,,,,,,,,,,
VN-A393,A321-231,13.5,VNA,10/03,VN586,HAN,KHH,2026-03-10 11:20:00,11,37.0,,,,1,0.0,,,,,,,,,,,
VN-A325,A321-231,14.8,VNA,10/03,VN1718,VII,HAN,2026-03-10 11:25:00,11,11.0,,,,1,0.0,,,,,,,,,,,
VN-A671,A320-214,10.1,VJC,10/03,VJ493,HAN,BMV,2026-03-10 11:25:00,11,26.0,,,,1,0.0,,,,,,,,,,,
VN-A544,A321-211,10.0,VJC,10/03,VJ309,HUI,SGN,2026-03-10 11:30:00,11,43.0,,,,1,0.0,,,,,,,,,,,
VN-A634,A321-211,8.3,VJC,10/03,VJ877,HKG,SGN,2026-03-10 11:30:00,11,48.0,,,,1,0.0,,,,,,,,,,,
VN-A662,A320-214,10.5,VJC,10/03,VJ812,SIN,SGN,2026-03-10 11:30:00,11,14.0,,,,1,0.0,,,,,,,,,,,
VN-A535,A321-211,10.1,VJC,10/03,VJ221,VII,SGN,2026-03-10 11:35:00,11,10.0,,,,1,0.0,,,,,,,,,,,
VN-A227,A321-211,13.0,BAV,10/03,QH173,DAD,SGN,2026-03-10 11:40:00,11,2.0,,,,1,0.0,,,,,,,,,,,
VN-A323,A321-231,14.9,VNA,10/03,VN609,SGN,BKK,2026-03-10 11:40:00,11,25.0,,,,1,0.0,,,,,,,,,,,
VN-A585,A321-211,14.1,BAV,10/03,QH146,DAD,HAN,2026-03-10 11:45:00,11,9.0,,,,1,0.0,,,,,,,,,,,
VN-A650,A320-214,11.1,VJC,10/03,VJ1832,VTE,SGN,2026-03-10 11:45:00,11,33.0,44.0,60.0,22.0,2,44.0,,,,,,,,,,,55.0
VN-A505,A321-272N,6.5,VNA,10/03,VN678,KUL,SGN,2026-03-10 11:50:00,11,18.0,,,,1,0.0,,,,,,,,,,,
VN-A619,A321-272N,7.1,VNA,10/03,VN617,HAN,BKK,2026-03-10 11:55:00,11,29.0,,,,1,0.0,,,,,,,,,,,
VN-A336,A321-231,13.6,VNA,10/03,VN618,BKK,HAN,2026-03-10 12:00:00,12,55.0,64.0,65.0,30.0,2,64.0,,,,,,,,,,,85.0
VN-A618,A321-272N,7.1,VNA,10/03,VN188,DAD,HAN,2026-03-10 12:00:00,12,23.0,12.0,35.0,42.0,2,12.0,,,,,,,,,,,65.0
VN-A655,A320-214,11.1,VJC,10/03,VJ1925,HAN,AMD,2026-03-10 12:00:00,12,12.0,,,,1,0.0,,,,,,,,,,,
VN-A542,A321-211,10.0,VJC,10/03,VJ914,SAI,HAN,2026-03-10 12:05:00,12,0.0,,,,1,0.0,,,,,,,,,,,
VN-A623,A321-272N,7.1,VNA,10/03,VJ517,HAN,DAD,2026-03-10 12:05:00,12,26.0,3.0,30.0,37.0,2,3.0,,,,,,,,,,,63.0
VN-A632,A321-211,8.5,VJC,10/03,VJ517,HAN,DAD,2026-03-10 12:05:00,12,26.0,3.0,30.0,37.0,2,3.0,,,,,,,,,,,63.0
VN-A617,A321-272N,7.3,VNA,10/03,VN7179,HPH,SGN,2026-03-10 12:10:00,12,38.0,47.0,40.0,16.0,2,47.0,,,,,,,,,,,54.0
VN-A812,A330-343,15.5,VJC,10/03,VJ971,HAN,DEL,2026-03-10 12:10:00,12,18.0,,,,1,0.0,,,,,,,,,,,
VN-A815,A330-343,10.3,VJC,10/03,VJ196,SGN,HAN,2026-03-10 12:10:00,12,17.0,,,,1,0.0,,,,,,,,,,,
VN-A891,A350-941,9.2,VNA,10/03,VN18,CDG,HAN,2026-03-10 12:10:00,12,11.0,,,,1,0.0,,,,,,,,,,,
VN-A358,A321-231,17.6,VNA,10/03,VN1562,CXR,HAN,2026-03-10 12:15:00,12,19.0,14.0,35.0,44.0,2,14.0,,,,,,,,,,,63.0
VN-A525,A321-271NX,2.5,VJC,10/03,VJ861,ICN,SGN,2026-03-10 12:15:00,12,1.0,,,,1,0.0,,,,,,,,,,,
VN-A666,A320-214,17.2,VJC,10/03,VJ569,HAN,HUI,2026-03-10 12:15:00,12,21.0,,,,1,0.0,,,,,,,,,,,
VN-A672,A320-214,10.1,VJC,10/03,VJ377,VCL,SGN,2026-03-10 12:15:00,12,4.0,23.0,30.0,33.0,2,23.0,,,,,,,,,,,37.0
VN-A332,A321-231,14.3,VNA,10/03,VN1940,CXR,DAD,2026-03-10 12:20:00,12,6.0,2.0,35.0,56.0,2,2.0,,,,,,,,,,,62.0
VN-A503,A321-272N,6.8,VNA,10/03,VN815,SGN,SAI,2026-03-10 12:30:00,12,0.0,,,,1,0.0,,,,,,,,,,,
VN-A539,A321-271NX,1.4,VJC,10/03,VJ1321,SGN,PQC,2026-03-10 12:30:00,12,33.0,,,,1,0.0,,,,,,,,,,,
VN-A630,A321-211,8.9,VJC,10/03,VJ1244,SGN,THD,2026-03-10 12:35:00,12,5.0,48.0,105.0,78.0,2,48.0,,,,,,,,,,,83.0
VN-A637,A321-211,8.3,VJC,10/03,VJ316,SGN,HUI,2026-03-10 12:35:00,12,68.0,46.0,30.0,2.0,2,46.0,,,,,,,,,,,70.0
VN-A641,A321-211,8.8,VJC,10/03,VJ249,THD,SGN,2026-03-10 12:35:00,12,33.0,40.0,30.0,17.0,2,40.0,,,,,,,,,,,50.0
VN-A862,B787-900,10.6,VNA,10/03,VN262,SGN,HAN,2026-03-10 12:35:00,12,10.0,,,,1,0.0,,,,,,,,,,,
VN-A500,A321-271NX,0.9,VJC,10/03,VJ519,HAN,DAD,2026-03-10 12:45:00,12,97.0,25.0,-25.0,-28.0,1,0.0,,,,,,,,,,,69.0
VN-A501,A321-272N,7.2,VNA,10/03,VN7352,SGN,,2026-03-10 12:52:00,12,0.0,6.0,47.0,64.0,2,6.0,,,,,,,,,,,64.0
VN-A811,A330-343,17.3,VJC,10/03,VJ177,HAN,SGN,2026-03-10 12:55:00,12,34.0,45.0,60.0,46.0,2,45.0,,,,,,,,,,,80.0
VN-A864,B787-900,10.4,VNA,10/03,VN36,FRA,HAN,2026-03-10 12:55:00,12,8.0,,,,1,0.0,,,,,,,,,,,
VN-A635,A321-211,8.4,VJC,10/03,VJ155,HAN,SGN,2026-03-10 13:05:00,13,38.0,50.0,50.0,18.0,2,50.0,,,,,,,,,,,56.0
JU-1410,A320-214,14.9,BAV,10/03,QH268,SGN,HAN,2026-03-10 13:10:00,13,65.0,30.0,40.0,26.0,2,30.0,,,,,,,,,,,91.0
VN-A326,A321-231,14.7,VNA,10/03,VN842,SAI,HAN,2026-03-10 13:30:00,13,0.0,1.0,50.0,64.0,2,1.0,,,,,,,,,,,61.0
VN-A334,A321-231,13.8,VNA,10/03,VN256,SGN,HAN,2026-03-10 13:30:00,13,25.0,45.0,55.0,36.0,2,45.0,,,,,,,,,,,61.0
VN-A585,A321-211,14.1,BAV,10/03,QH273,HAN,SGN,2026-03-10 13:30:00,13,46.0,9.0,20.0,31.0,2,9.0,,,,,,,,,,,77.0
VN-A629,A321-211,7.3,VJC,10/03,VJ1609,CXR,SGN,2026-03-10 13:30:00,13,63.0,58.0,60.0,19.0,2,58.0,,,,,,,,,,,82.0
VN-A866,B787-900,10.2,VNA,10/03,VN265,HAN,SGN,2026-03-10 13:30:00,13,9.0,59.0,105.0,70.0,2,59.0,,,,,,,,,,,79.0
VN-A534,A321-271NX,5.3,VJC,10/03,VJ464,VCA,HAN,2026-03-10 13:35:00,13,44.0,69.0,60.0,11.0,2,69.0,,,,,,,,,,,55.0
VN-A618,A321-272N,7.1,VNA,10/03,VN1268,SGN,VII,2026-03-10 13:40:00,13,249.0,23.0,15.0,13.0,3,35.0,,,,,,,,,,,262.0
VN-A671,A320-214,10.1,VJC,10/03,VJ494,BMV,HAN,2026-03-10 13:40:00,13,20.0,26.0,30.0,27.0,2,26.0,,,,,,,,,,,47.0
VN-A663,A320-214,10.5,VJC,10/03,VJ976,PQC,ICN,2026-03-10 13:45:00,13,48.0,48.0,60.0,26.0,2,48.0,,,,,,,,,,,74.0
VN-A227,A321-211,13.0,BAV,10/03,QH286,SGN,HAN,2026-03-10 13:50:00,13,31.0,2.0,40.0,58.0,2,2.0,,,,,,,,,,,89.0
VN-A623,A321-272N,7.1,VNA,10/03,VJ518,DAD,HAN,2026-03-10 13:55:00,13,37.0,26.0,30.0,24.0,3,29.0,,,,,,,,,,,61.0
VN-A632,A321-211,8.5,VJC,10/03,VJ518,DAD,HAN,2026-03-10 13:55:00,13,37.0,26.0,30.0,24.0,3,29.0,,,,,,,,,,,61.0
VN-A669,A320-214,16.5,VJC,10/03,VJ284,SGN,HPH,2026-03-10 13:55:00,13,54.0,,,,1,0.0,,,,,,,,,,,
VN-A390,A321-231,13.5,VNA,10/03,VN221,HAN,SGN,2026-03-10 14:00:00,14,31.0,,,,1,0.0,,,,,,,,,,,
VN-A666,A320-214,17.2,VJC,10/03,VJ568,HUI,HAN,2026-03-10 14:00:00,14,20.0,21.0,30.0,32.0,2,21.0,,,,,,,,,,,52.0
VN-A392,A321-231,13.5,VNA,10/03,VN7193,HAN,DAD,2026-03-10 14:05:00,14,14.0,0.0,90.0,108.0,2,0.0,,,,,,,,,,,122.0
VN-A672,A320-214,10.1,VJC,10/03,VJ314,SGN,HUI,2026-03-10 14:05:00,14,12.0,4.0,30.0,49.0,3,27.0,,,,,,,,,,,61.0
VN-A323,A321-231,14.9,VNA,10/03,VN608,BKK,SGN,2026-03-10 14:15:00,14,22.0,25.0,60.0,51.0,2,25.0,,,,,,,,,,,73.0
VN-A618,A321-272N,7.1,VNA,10/03,VN7049,HAN,SGN,2026-03-10 14:15:00,14,25.0,249.0,-70.0,-298.0,1,0.0,,,,,,,,,,,-273.0
VN-A503,A321-272N,6.8,VNA,10/03,VN814,SAI,SGN,2026-03-10 14:30:00,14,0.0,0.0,60.0,66.0,2,0.0,,,,,,,,,,,58.0
VN-A637,A321-211,8.3,VJC,10/03,VJ315,HUI,SGN,2026-03-10 14:30:00,14,80.0,68.0,30.0,-17.0,3,114.0,,,,,,,,,,,63.0
VN-A814,A330-343,10.4,VJC,10/03,VJ82,MEL,SGN,2026-03-10 14:30:00,14,44.0,37.0,115.0,93.0,2,37.0,,,,,,,,,,,137.0
VN-A500,A321-271NX,0.9,VJC,10/03,VJ520,DAD,HAN,2026-03-10 14:35:00,14,96.0,97.0,30.0,-49.0,2,97.0,,,,,,,,,,,47.0
VN-A335,A321-231,13.6,VNA,10/03,VN1378,SGN,HUI,2026-03-10 14:36:00,14,0.0,67.0,116.0,87.0,2,67.0,,,,,,,,,,,87.0
VN-A633,A321-211,8.5,VJC,10/03,VJ3908,SGN,CAN,2026-03-10 14:45:00,14,21.0,4.0,105.0,115.0,2,4.0,,,,,,,,,,,136.0
VN-A501,A321-272N,7.2,VNA,10/03,VN440,CXR,ICN,2026-03-10 14:50:00,14,1.0,,,,1,0.0,,,,,,,,,,,
VN-A693,A321-271N,7.0,VJC,10/03,VJ5177,SHE,,2026-03-10 14:57:00,14,0.0,0.0,88.0,-392.0,2,0.0,,,,,,,,,,,-392.0
VN-A505,A321-272N,6.5,VNA,10/03,VN224,SGN,HAN,2026-03-10 15:00:00,15,13.0,18.0,65.0,67.0,2,18.0,,,,,,,,,,,80.0
VN-A539,A321-271NX,1.4,VJC,10/03,VJ3523,PQC,HAN,2026-03-10 15:02:00,15,0.0,33.0,92.0,83.0,2,33.0,,,,,,,,,,,83.0
VN-A630,A321-211,8.9,VJC,10/03,VJ1247,THD,SGN,2026-03-10 15:05:00,15,0.0,5.0,30.0,53.0,3,53.0,,,,,,,,,,,51.0
VN-A619,A321-272N,7.1,VNA,10/03,VN616,BKK,HAN,2026-03-10 15:10:00,15,40.0,29.0,70.0,71.0,2,29.0,,,,,,,,,,,111.0
VN-A662,A320-214,10.5,VJC,10/03,VJ864,SGN,ICN,2026-03-10 15:15:00,15,8.0,14.0,100.0,107.0,2,14.0,,,,,,,,,,,115.0
VN-A816,A330-343,10.3,VJC,10/03,VJ5806,KZN,CXR,2026-03-10 15:15:00,15,0.0,0.0,125.0,125.0,2,0.0,,,,,,,,,,,125.0
VN-A542,A321-211,10.0,VJC,10/03,VJ523,HAN,DAD,2026-03-10 15:45:00,15,5.0,0.0,115.0,134.0,2,0.0,,,,,,,,,,,139.0
VN-A641,A321-211,8.8,VJC,10/03,VJ178,SGN,HAN,2026-03-10 15:45:00,15,14.0,33.0,70.0,53.0,3,73.0,,,,,,,,,,,67.0
VN-A336,A321-231,13.6,VNA,10/03,VN643,HAN,CEB,2026-03-10 15:50:00,15,14.0,55.0,115.0,95.0,3,119.0,,,,,,,,,,,109.0
VN-A672,A320-214,10.1,VJC,10/03,VJ313,HUI,SGN,2026-03-10 16:00:00,16,4.0,12.0,30.0,42.0,4,39.0,,,,,,,,,,,46.0
VN-A629,A321-211,7.3,VJC,10/03,VJ858,SGN,MNL,2026-03-10 16:05:00,16,44.0,63.0,95.0,52.0,3,121.0,,,,,,,,,,,96.0
VN-A618,A321-272N,7.1,VNA,10/03,VN1269,VII,SGN,2026-03-10 16:10:00,16,236.0,25.0,-15.0,-16.0,1,0.0,,,,,,,,,,,220.0
VN-A335,A321-231,13.6,VNA,10/03,VN1379,HUI,SGN,2026-03-10 16:15:00,16,9.0,0.0,,40.0,1,0.0,,,,,,,,,,,49.0
JU-1410,A320-214,14.9,BAV,10/03,QH283,HAN,SGN,2026-03-10 16:20:00,16,57.0,65.0,60.0,27.0,3,95.0,,,,,,,,,,,84.0
VN-A635,A321-211,8.4,VJC,10/03,VJ182,SGN,HAN,2026-03-10 16:20:00,16,6.0,38.0,65.0,52.0,3,88.0,,,,,,,,,,,58.0
VN-A585,A321-211,14.1,BAV,10/03,QH282,SGN,HAN,2026-03-10 16:25:00,16,45.0,46.0,40.0,21.0,3,55.0,,,,,,,,,,,66.0
VN-A669,A320-214,16.5,VJC,10/03,VJ285,HPH,SGN,2026-03-10 16:25:00,16,42.0,54.0,30.0,1.0,2,54.0,,,,,,,,,,,43.0
VN-A862,B787-900,10.6,VNA,10/03,VN37,HAN,FRA,2026-03-10 16:25:00,16,27.0,10.0,105.0,121.0,2,10.0,,,,,,,,,,,148.0
VN-A516,A321-271NX,0.9,VJC,10/03,VJ968,PQC,PUS,2026-03-10 16:30:00,16,6.0,92.0,305.0,225.0,1,0.0,,,,,,,,,,,231.0
VN-A616,A321-272N,6.9,VNA,10/03,VN430,DAD,ICN,2026-03-10 16:30:00,16,16.0,31.0,235.0,222.0,2,31.0,,,,,,,,,,,238.0
VN-A653,A321-271N,7.5,VJC,10/03,VJ7526,HAN,CAN,2026-03-10 16:40:00,16,17.0,10.0,165.0,195.0,2,10.0,,,,,,,,,,,212.0
VN-A607,A321-271N,6.8,VJC,10/03,VJ822,SGN,NRT,2026-03-10 16:55:00,16,196.0,,,,1,0.0,,,,,,,,,,,
VN-A227,A321-211,13.0,BAV,10/03,QH15,HAN,,2026-03-10 17:01:00,17,0.0,31.0,61.0,59.0,3,33.0,,,,,,,,,,,59.0
VN-A535,A321-211,10.1,VJC,10/03,VJ868,SGN,PUS,2026-03-10 17:05:00,17,58.0,10.0,220.0,233.0,2,10.0,,,,,,,,,,,291.0
VN-A866,B787-900,10.2,VNA,10/03,VN320,SGN,KIX,2026-03-10 17:05:00,17,12.0,9.0,85.0,104.0,3,68.0,,,,,,,,,,,116.0
VN-A325,A321-231,14.8,VNA,10/03,VN647,HAN,MNL,2026-03-10 17:20:00,17,17.0,11.0,300.0,303.0,1,0.0,,,,,,,,,,,320.0
VN-A522,A321-211,10.8,VJC,10/03,VJ988,DAD,PUS,2026-03-10 17:30:00,17,51.0,,,,1,0.0,,,,,,,,,,,
VN-A646,A321-271N,8.2,VJC,10/03,VJ821,HND,SGN,2026-03-10 17:30:00,17,8.0,35.0,90.0,101.0,2,35.0,,,,,,,,,,,109.0
VN-A886,A350-941,10.8,VNA,10/03,VN972,BOM,HAN,2026-03-10 17:40:00,17,0.0,8.0,110.0,126.0,2,8.0,,,,,,,,,,,114.0
VN-A503,A321-272N,6.8,VNA,10/03,VN516,SGN,PKX,2026-03-10 17:45:00,17,48.0,0.0,120.0,154.0,3,0.0,,,,,,,,,,,202.0
VN-A861,B787-900,10.8,VNA,10/03,VN55,HAN,LHR,2026-03-10 17:45:00,17,57.0,13.0,230.0,266.0,2,13.0,,,,,,,,,,,323.0
VN-A815,A330-343,10.3,VJC,10/03,VJ932,HAN,NRT,2026-03-10 17:55:00,17,23.0,17.0,215.0,230.0,2,17.0,,,,,,,,,,,253.0
VN-A888,A350-941,10.5,VNA,10/03,VN334,HAN,KIX,2026-03-10 18:05:00,18,10.0,26.0,250.0,260.0,1,0.0,,,,,,,,,,,270.0
VN-A633,A321-211,8.5,VJC,10/03,VJ3909,CAN,SGN,2026-03-10 18:30:00,18,14.0,21.0,60.0,63.0,3,25.0,,,,,,,,,,,77.0
VN-A500,A321-271NX,0.9,VJC,10/03,VJ920,HAN,NGO,2026-03-10 18:35:00,18,10.0,96.0,160.0,85.0,3,193.0,,,,,,,,,,,95.0
VN-A812,A330-343,15.5,VJC,10/03,VJ972,DEL,HAN,2026-03-10 18:35:00,18,18.0,18.0,75.0,104.0,2,18.0,,,,,,,,,,,122.0
VN-A655,A320-214,11.1,VJC,10/03,VJ1926,AMD,HAN,2026-03-10 18:40:00,18,0.0,12.0,60.0,100.0,2,12.0,,,,,,,,,,,83.0
VN-A505,A321-272N,6.5,VNA,10/03,VN358,HAN,FUK,2026-03-10 18:55:00,18,9.0,13.0,110.0,124.0,3,31.0,,,,,,,,,,,133.0
VN-A227,A321-211,13.0,BAV,10/03,QH1416,CXR,HAN,2026-03-10 19:22:00,19,0.0,,,,1,0.0,,,,,,,,,,,
VN-A653,A321-271N,7.5,VJC,10/03,VJ7527,CAN,HAN,2026-03-10 19:30:00,19,13.0,17.0,75.0,83.0,3,27.0,,,,,,,,,,,96.0
VN-A629,A321-211,7.3,VJC,10/03,VJ859,MNL,SGN,2026-03-10 19:45:00,19,75.0,44.0,55.0,49.0,4,165.0,,,,,,,,,,,124.0
VN-A663,A320-214,10.5,VJC,10/03,VJ977,ICN,PQC,2026-03-10 20:00:00,20,24.0,48.0,60.0,49.0,3,96.0,,,,,,,,,,,73.0
VN-A336,A321-231,13.6,VNA,10/03,VN642,CEB,HAN,2026-03-10 20:45:00,20,0.0,14.0,75.0,94.0,4,133.0,,,,,,,,,,,82.0
VN-A501,A321-272N,7.2,VNA,10/03,VN441,ICN,CXR,2026-03-10 21:15:00,21,0.0,1.0,110.0,136.0,2,1.0,,,,,,,,,,,133.0
VN-A325,A321-231,14.8,VNA,10/03,VN646,MNL,HAN,2026-03-10 21:20:00,21,39.0,17.0,60.0,71.0,2,17.0,,,,,,,,,,,110.0
VN-A619,A321-272N,7.1,VNA,10/03,VN205,HAN,SGN,2026-03-10 22:00:00,22,4.0,40.0,295.0,284.0,1,0.0,,,,,,,,,,,288.0
VN-A662,A320-214,10.5,VJC,10/03,VJ865,ICN,SGN,2026-03-10 22:00:00,22,0.0,8.0,95.0,138.0,3,22.0,,,,,,,,,,,134.0
VN-A639,A321-211,8.2,VJC,10/03,VJ623,DAD,SGN,2026-03-10 22:25:00,22,6.0,,,,1,0.0,,,,,,,,,,,
VN-A658,A320-214,11.4,VJC,10/03,VJ461,HAN,VCA,2026-03-10 22:30:00,22,19.0,84.0,675.0,603.0,1,0.0,,,,,,,,,,,622.0
VN-A811,A330-343,17.3,VJC,10/03,VJ120,SGN,HAN,2026-03-10 22:30:00,22,13.0,34.0,445.0,434.0,1,0.0,,,,,,,,,,,447.0
VN-A516,A321-271NX,0.9,VJC,10/03,VJ969,PUS,PQC,2026-03-10 22:35:00,22,0.0,6.0,65.0,81.0,2,6.0,,,,,,,,,,,81.0
