DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS,std_utc,atd_utc,sta_utc,status_utc,scheduled_dep_hour,dep_delay_minutes,prev_sta_utc,prev_status_utc,prev_dep_delay_minutes,scheduled_turnaround,actual_buffer_left,actual_turnaround,has_prev_leg,is_new_chain,chain_id,flight_legs,cumulative_delay
25/03,QH268,SGN,HAN,1h44m,12:35,12:54,14:45,Landed 21:38,green,2026-03-25 14:38,104.0,2026-03-25 12:35:00,2026-03-25 12:54:00,2026-03-25 14:45:00,2026-03-25 14:38:00,12,19.0,2026-03-25 11:45:00,2026-03-25 11:41:00,23.0,50.0,54.0,73.0,1,0,20,5,80.0
25/03,QH255,HAN,SGN,1h48m,09:30,09:53,11:45,Landed 18:41,green,2026-03-25 11:41,108.0,2026-03-25 09:30:00,2026-03-25 09:53:00,2026-03-25 11:45:00,2026-03-25 11:41:00,9,23.0,2026-03-25 08:25:00,2026-03-25 08:34:00,28.0,65.0,56.0,79.0,1,0,20,4,57.0
25/03,QH242,SGN,HAN,1h51m,06:15,06:43,08:25,Landed 15:34,green,2026-03-25 08:34,111.0,2026-03-25 06:15:00,2026-03-25 06:43:00,2026-03-25 08:25:00,2026-03-25 08:34:00,6,28.0,2026-03-25 05:25:00,2026-03-25 05:07:00,16.0,50.0,68.0,96.0,1,0,20,3,29.0
25/03,QH211,HAN,SGN,1h41m,03:10,03:26,05:25,Landed 12:07,green,2026-03-25 05:07,101.0,2026-03-25 03:10:00,2026-03-25 03:26:00,2026-03-25 05:25:00,2026-03-25 05:07:00,3,16.0,2026-03-25 02:20:00,2026-03-25 02:08:00,13.0,50.0,62.0,78.0,1,0,20,2,13.0
25/03,QH204,SGN,HAN,1h45m,00:10,00:23,02:20,Landed 09:08,green,2026-03-25 02:08,105.0,2026-03-25 00:10:00,2026-03-25 00:23:00,2026-03-25 02:20:00,2026-03-25 02:08:00,0,13.0,2026-03-24 11:45:00,2026-03-24 11:41:00,25.0,745.0,749.0,762.0,1,1,20,1,0.0
24/03,QH255,HAN,SGN,1h46m,09:30,09:55,11:45,Landed 18:41,green,2026-03-24 11:41,106.0,2026-03-24 09:30:00,2026-03-24 09:55:00,2026-03-24 11:45:00,2026-03-24 11:41:00,9,25.0,2026-03-24 08:25:00,2026-03-24 08:09:00,10.0,65.0,81.0,106.0,1,0,19,4,27.0
24/03,QH242,SGN,HAN,1h44m,06:15,06:25,08:25,Landed 15:09,green,2026-03-24 08:09,104.0,2026-03-24 06:15:00,2026-03-24 06:25:00,2026-03-24 08:25:00,2026-03-24 08:09:00,6,10.0,2026-03-24 05:25:00,2026-03-24 05:00:00,11.0,50.0,75.0,85.0,1,0,19,3,17.0
24/03,QH211,HAN,SGN,1h39m,03:10,03:21,05:25,Landed 12:00,green,2026-03-24 05:00,99.0,2026-03-24 03:10:00,2026-03-24 03:21:00,2026-03-24 05:25:00,2026-03-24 05:00:00,3,11.0,2026-03-24 02:20:00,2026-03-24 01:58:00,6.0,50.0,72.0,83.0,1,0,19,2,6.0
24/03,QH204,SGN,HAN,1h42m,00:10,00:16,02:20,Landed 08:58,green,2026-03-24 01:58,102.0,2026-03-24 00:10:00,2026-03-24 00:16:00,2026-03-24 02:20:00,2026-03-24 01:58:00,0,6.0,2026-03-23 17:50:00,2026-03-23 17:44:00,25.0,380.0,386.0,392.0,1,1,19,1,0.0
23/03,QH283,HAN,SGN,1h44m,15:35,16:00,17:50,Landed 00:44,green,2026-03-23 17:44,104.0,2026-03-23 15:35:00,2026-03-23 16:00:00,2026-03-23 17:50:00,2026-03-23 17:44:00,15,25.0,2026-03-23 14:45:00,2026-03-23 14:57:00,34.0,50.0,38.0,63.0,1,0,18,6,88.0
